input,name,quantity,unit,size,preparation,comment,purpose
"1 1-inch piece ginger, peeled, coarsely grated",ginger,1,piece,1 inch,peeled coarsely grated,,
"1 3-inch piece ginger, peeled, cut into 1-inch matchsticks",ginger,1,piece,3 inch,peeled cut into 1 inch matchsticks,,
"4 ½""-thick bone-in pork chops",bone-in pork chops,,,,,,
"2 9""–10"" flour tortillas",flour tortillas,2,,"9""-10""",,,
"1 1""-thick slice crusty bread, cut into ¾"" pieces",crusty bread,1,slice,"1""-thick","cut into #3$4"" piece",,
"1 lb. 1""-thick bone-in pork rib chops",bone-in pork rib chops,1,lb,"1""-thick",,,
"Bite-size pieces blanched seasonal vegetables (such as peas, snow peas, spinach, kale, asparagus, and/or fava beans; for serving; optional)",blanched seasonal vegetables,,Bite-size piece,,,such as peas snow peas spinach kale asparagus and/or fava beans optional,for serving
"1 2"" piece ginger, scrubbed, finely chopped",ginger,1,piece,"2""",scrubbed finely chopped,,
"1 1"" piece fresh ginger",fresh ginger,1,piece,"1""",,,
"An 8"" square piece of cheesecloth","An 8"" cheesecloth",,square piece,,,of,
"2 10"" hero rolls, split in half lengthwise, toasted","10"" hero rolls",2,,,split in half lengthwise toasted,,
"2 1""-thick bone-in pork rib chops",bone-in pork rib chops,2,,"1""-thick",,,
"2 lb. ¼""–½""-thick crosscut bone-in beef short ribs (flanken-style; about twelve 3-bone strips)",crosscut bone-in beef short rib,2,lb,"#1$4""-#1$2""-thick",,flanken-style about twelve 3-bone strip,
"1 1” piece ginger, peeled, coarsely chopped",ginger,1,piece,1”,peeled coarsely chopped,,
"2 7""–8""-diameter flour tortillas or whole wheat chapatis or rotis",flour tortillas or whole wheat chapatis or rotis,2,,"7""-8""-diameter",,,
"1 2"" piece ginger, scrubbed, finely grated",ginger,1,piece,"2""",scrubbed finely grated,,
"½ 8-oz. block firm tofu, preferably braised, sliced into thin batons",firm tofu,#1$2 8,oz block,,sliced into thin batons,preferably braised,
"1 2” piece ginger, peeled, chopped",ginger,1,piece,2”,peeled chopped,,
"1 soondae (Korean blood sausage), sliced 1"" thick, or 4 oz. thick-cut pork belly, cut into ½"" pieces",soondae,1,,,"sliced 1"" thick cut into #1$2"" piece",Korean blood sausage or 4 oz thick-cut pork belly,
A piece of cheesecloth,cheesecloth,,piece,,,A of,
"1 14-oz. block firm tofu, drained",firm tofu,1 14,oz block,,drained,,
"3 8""-diameter pitas, split in half, torn into 1"" pieces",pitas,3,,"8""-diameter","split in half torn into 1"" piece",,
"1 3"" piece ginger, scrubbed, cut into 1"" pieces",ginger,1,piece,"3""","scrubbed cut into 1"" piece",,
2 8–9-oz. blocks frozen Sanuki udon noodles (such as Shirakiku brand),frozen Sanuki udon noodles,2 8-9,oz block,,,such as Shirakiku brand,
"1 1"" piece ginger, peeled, halved",ginger,1,piece,"1""",peeled halved,,
